Artikelnummer;Artikelbez. D.;Artikelbez. E.;Bestellnr.;Artikelkat.Code;Produktgrp.Code;Status;Artikel-Land;Preiseinheit;Mengeneinheit;Anzahl VE;WaehrungsKZ;HEK-Monacor;UVP-Monacor;HEK-Monacor-Aen.;UVP-Monacor-Aen.;Brand-Bezeichnung;EAN-Code;Katalogseite;Katalogseite Neu;Gewicht per;Brutto-Gewicht;Netto-Gewicht;Zollcode;Analogartikel;Anz.Umverpackung;Anz.Exportkarton;EuroKZ;
AAC-215P;PowerCon-Kabel;PowerCon Cable;0111290;4;1;STANDARD;DE;0;STUECK;1;;17,9;27,9;0;0;IMG -> Monacor;4007754209914;C131;;1;0,354;0,342;85444290900;;1;25;Nein;
AAC-500IEC;Netzkabel;AC Power Cord;0050112;4;1;STANDARD;CN;0;STUECK;1;;11,4;17,99;0;0;MONACOR;4007754253962;C131;;1;0,473;0,473;85444290900;;5;25;Nein;
AC-050;Audio-Verbindungskabel;Audio Connection Cable;0060010;4;1;STANDARD;CN;0;STUECK;1;USD;1,15;1,79;0;0;MONACOR;4007754000245;C114;;1;0,035;0,03;85444290900;;1;375;Nein;
AC-050G;Audio-Verbindungskabel;Audio Connection Cable;0066450;4;1;STANDARD;CN;0;STUECK;1;USD;2,95;4,79;0;0;MONACOR;4007754174922;C114;;1;0,041;0,036;85444290900;;1;250;Nein;
AC-080/BL;Cinchkabel 0,8m;Cinch Cable 0.8m;0064730;4;1;STANDARD;CN;0;STUECK;1;USD;3,7;5,99;0;0;CARPOWER;4007754120165;C115;;1;0,104;0,097;85444290900;;1;100;Nein;
AC-080/RT;Cinchkabel 0,8m;Cinch Cable 0.8m;0064770;4;1;STANDARD;CN;0;STUECK;1;USD;3,7;5,99;0;0;CARPOWER;4007754120202;C115;;1;0,102;0,093;85444290900;;1;100;Nein;
AC-080/SW;Cinchkabel 0,8m;Cinch Cable 0.8m;0064810;4;1;STANDARD;CN;0;STUECK;1;USD;3,7;5,99;0;0;CARPOWER;4007754120240;C115;;1;0,095;0,087;85444290900;;1;100;Nein;
AC-082/BL;Cinchkabel;Cinch Cable;0064870;4;1;STANDARD;TW;0;STUECK;1;USD;3,95;6,29;0;0;MONACOR;4007754125344;C114;;1;0,054;0,046;85444290900;;1;250;Nein;
AC-1000;Audio-Verbindungskabel;Audio Connection Cable;0066730;4;1;STANDARD;CN;0;STUECK;1;USD;6,7;10,49;0;0;MONACOR;4007754183528;C114;;1;0,291;0,274;85444290900;;1;50;Nein;
AC-102/SW;Audiokabel 100m;Audio Cable, 100m;0064300;4;1;STANDARD;CN;0;STUECK;1;USD;49;77,9;0;0;MONACOR;4007754090284;C101;;1;2,36;2,36;85444993900;;4;8;Nein;
AC-122;Audio-Verbindungskabel;Audio Connection Cable;0060020;4;1;STANDARD;CN;0;STUECK;1;USD;1,75;2,79;0;0;MONACOR;4007754000252;C114;;1;0,063;0,058;85444290900;;1;300;Nein;
AC-122G;Audio-Verbindungskabel;Audio Connection Cable;0061890;4;1;STANDARD;CN;0;STUECK;1;USD;3,2;5,29;0;0;MONACOR;4007754000269;C114;;1;0,058;0,054;85444290900;;1;200;Nein;
AC-150/BL;Cinchkabel 1,5m;Cinch Cable 1.5m;0064740;4;1;STANDARD;CN;0;STUECK;1;USD;4,5;7,29;0;0;CARPOWER;4007754120172;C115;;1;0,168;0,158;85444290900;;1;100;Nein;
AC-150/RT;Cinchkabel 1,5m;Cinch Cable 1.5m;0064780;4;1;STANDARD;CN;0;STUECK;1;USD;4,5;7,29;0;0;CARPOWER;4007754120219;C115;;1;0,152;0,142;85444290900;;1;100;Nein;
AC-150/SW;Cinchkabel 1,5m;Cinch Cable 1.5m;0064820;4;1;STANDARD;CN;0;STUECK;1;USD;4,5;7,29;0;0;CARPOWER;4007754120257;C115;;1;0,159;0,149;85444290900;;1;100;Nein;
AC-152/BL;Cinchkabel;Cinch Cable;0064890;4;1;STANDARD;TW;0;STUECK;1;USD;4,9;7,79;0;0;MONACOR;4007754125368;C114;;1;0,083;0,072;85444290900;;1;200;Nein;
AC-160/DIN;Funk-Relaismodul;Wireless Relay Module;0046040;2;2;JABLOTRON;CZ;0;STUECK;1;;69;186;0;0;JABLOTRON;8595614112574;WWW;;1;0,072;0,063;85364900990;;0;0;Nein;
AC-160C;Funk-Relaismodul;Wireless Relay Module;0047090;2;2;JABLOTRON;CZ;0;STUECK;1;;65;169;0;0;JABLOTRON;8595614115155;WWW;;1;0,059;0,05;85364900990;;0;0;Nein;
AC-200BK;Euro-Netzleitung;AC Power Cord;0050230;4;1;STANDARD;CN;0;STUECK;1;;1,55;2,49;0;0;MONACOR;4007754032208;C131;;1;0,088;0,088;85444290900;;10;200;Nein;
AC-203/SW;Euro-Netzleitung;AC Power Cord;0050190;4;1;STANDARD;CN;0;STUECK;1;;2,6;4,29;0;0;MONACOR;4007754000306;C131;;1;0,175;0,175;85444290900;;5;100;Nein;
AC-210/SW;Euro-Netzleitung;AC Power Cord;0059280;4;1;STANDARD;CN;0;STUECK;1;;4,3;6,99;0;0;MONACOR;4007754182101;C131;;1;0,274;0,274;85444290900;;5;50;Nein;
AC-300;Audio-Verbindungskabel;Audio Connection Cable;0062100;4;1;STANDARD;CN;0;STUECK;1;USD;2,5;3,99;0;0;MONACOR;4007754000313;C114;;1;0,098;0,093;85444290900;;1;250;Nein;
AC-300G;Audio-Verbindungskabel;Audio Connection Cable;0062120;4;1;STANDARD;CN;0;STUECK;1;USD;4,6;7,29;0;0;MONACOR;4007754000320;C114;;1;0,104;0,097;85444290900;;1;150;Nein;
AC-301;Audio-Verbindungskabel;Audio Connection Cable;0065620;4;1;STANDARD;CN;0;STUECK;1;USD;2,5;3,99;0;0;MONACOR;4007754159486;C113;;1;0,095;0,091;85444290900;;1;170;Nein;
AC-302/BL;Cinchkabel;Cinch Cable;0064910;4;1;STANDARD;TW;0;STUECK;1;USD;6,1;9,49;0;0;MONACOR;4007754125382;C114;;1;0,146;0,126;85444290900;;1;100;Nein;
AC-500/RT;Cinchkabel 5m;Cinch Cable 5m;0064790;4;1;STANDARD;CN;0;STUECK;1;USD;9,9;15,49;0;0;CARPOWER;4007754120226;C115;;1;0,403;0,387;85444290900;AC-500/SW;1;30;Nein;
AC-500/SW;Cinchkabel 5m;Cinch Cable 5m;0064830;4;1;STANDARD;CN;0;STUECK;1;USD;9,9;15,49;0;0;MONACOR;4007754120264;C115;;1;0,422;0,406;85444290900;;1;30;Nein;
AC-502/BL;Cinchkabel;Cinch Cable;0064930;4;1;STANDARD;TW;0;STUECK;1;USD;7,8;12,49;0;0;MONACOR;4007754125405;C114;;1;0,206;0,188;85444290900;;1;80;Nein;
AC-53/SW;Audiokabel 50 m;Audio Connection Cord;0064840;4;1;STANDARD;CN;0;STUECK;1;USD;46;72,9;0;0;CARPOWER;4007754120271;C101;;1;3,95;3,95;85444993900;;1;5;Nein;
AC-54;Stereo-Adapter-Kabel;Stereo Adaptor Cable;0060040;4;1;STANDARD;CN;0;STUECK;1;USD;3,6;5,79;0;0;MONACOR;4007754000337;C116;;1;0,085;0,08;85444290900;;1;200;Nein;
AC-600;Audio-Verbindungskabel;Audio Connection Cable;0062110;4;1;STANDARD;CN;0;STUECK;1;USD;4,1;6,49;0;0;MONACOR;4007754000344;C114;;1;0,166;0,162;85444290900;;1;125;Nein;
AC-600G;Audio-Verbindungskabel;Audio Connection Cable;0062130;4;1;STANDARD;CN;0;STUECK;1;USD;6,3;9,99;0;0;MONACOR;4007754000351;C114;;1;0,184;0,178;85444290900;;1;100;Nein;
