Artikelnummer;Artikelbez. D.;Artikelbez. E.;Bestellnr.;Artikelkat.Code;Produktgrp.Code;Status;Artikel-Land;Preiseinheit;Mengeneinheit;Anzahl VE;WaehrungsKZ;HEK-Monacor;UVP-Monacor;HEK-Monacor-Aen.;UVP-Monacor-Aen.;Brand-Bezeichnung;EAN-Code;Katalogseite;Katalogseite Neu;Gewicht per;Brutto-Gewicht;Netto-Gewicht;Zollcode;Analogartikel;Anz.Umverpackung;Anz.Exportkarton;EuroKZ; 
DT-300;HiFi-Dome-Tweeter;HiFi Dome Tweeter;0103860;7;3;STANDARD;CN;0;STUECK;1;USD;23;49,9;0;0;NUMBER ONE;4007754146493;C260;;1;0,715;0,655;85182995990;;1;24;Nein;
DT-352NF;HiFi-Dome-Tweeter;HiFi Dome Tweeter;0105900;7;3;NEUHEIT;DE;0;STUECK;1;;42;89,9;0;0;MONACOR;4007754260281;C259;;1;0,86;0,77;85182995990;;1;0;Nein;
DT-74/8;HiFi-Dome-Tweeter;HiFi Dome Tweeter;0102070;7;3;STANDARD;TW;0;STUECK;1;;7,5;15,99;0;0;NUMBER ONE;4007754046069;C265;;1;0,135;0,12;85182995990;;1;80;Nein;
DT-75/8;HiFi-Dome-Tweeter;HiFi Dome Tweeter;0101300;7;3;STANDARD;TW;0;STUECK;1;;15,6;32,9;0;0;NUMBER ONE;4007754005356;C265;;1;0,365;0,335;85182995990;;1;24;Nein;
DT-99;HiFi-Dome-Tweeter;HiFi Dome Tweeter;0103880;7;3;STANDARD;CN;0;STUECK;1;USD;15,9;33,9;0;0;NUMBER ONE;4007754146516;C261;;1;0,547;0,506;85182995990;;1;30;Nein;
DTM-104/4;HiFi-Dome-Tweeter;HiFi Dome Tweeter;0105320;7;3;STANDARD;CN;0;STUECK;1;USD;14,2;29,9;0;0;MONACOR;4007754220940;C263;;1;0,562;0,54;85182995990;;1;27;Nein;
DTM-104/8;HiFi-Dome-Tweeter;HiFi Dome Tweeter;0105330;7;3;STANDARD;CN;0;STUECK;1;USD;14,2;29,9;0;0;MONACOR;4007754220957;C263;;1;0,56;0,535;85182995990;;1;27;Nein;
DTRA-2;Dante Streamer;Dante Streamer;0257880;1;5;STANDARD;CN;0;STUECK;1;;189;345;0;0;MONACOR;4007754254587;E4;;1;0,47;0,35;85176200000;;1;8;Nein;
DTTA-2;Dante Streamer;Dante Streamer;0257890;1;5;W;CN;0;STUECK;1;;189;345;0;0;MONACOR;4007754254594;E4;;1;0,464;0,351;85176200000;;1;8;Nein;
DVA-110DOOR;Video Tuersprechanlage drahtlos;Video Doorphone Wireless;0188030;2;5;AKTIONSARTIKEL;CN;0;STUECK;1;USD;89;154,9;0;0;ORG.MAKERS BRAND;4007754249415;WWW;;1;0,464;0,358;85176920000;;1;30;Nein;
E-11A;Mini-Profil-Einbauinstrument;Illuminate Panel Meter;0290190;3;17;STANDARD;TW;0;STUECK;1;USD;10,5;34,9;0;0;MONACOR;4007754005448;C176;;1;0,013;0,013;90303320900;;50;1.000;Nein;
EBH-45;Stativadapter;Stand Adaptor;0118055;8;26;STANDARD;PL;0;STUECK;1;;4,6;7,29;0;0;IMG -> Monacor;4007754237719;C41;;1;0,32;0,285;73269098900;;1;54;Nein;
EBH-46;Stativadapter;Stand Adaptor;0111940;8;26;STANDARD;PL;0;STUECK;1;;4,6;7,29;0;0;MONACOR;4007754227444;C41;;1;0,31;0,276;73269098900;;1;54;Ja;
EBH-47;Stativadapter;Stand Adaptor;0111500;8;26;STANDARD;PL;0;STUECK;1;;4,6;7,29;0;0;MONACOR;4007754221107;C41;;1;0,335;0,305;73269098900;;1;54;Ja;
EBH-53;Metall-Flansch;Metal Flange;0127220;8;26;STANDARD;CN;0;STUECK;1;USD;5,8;8,99;0;0;MONACOR;4007754113211;C41;;1;0,425;0,385;73079100900;;1;48;Nein;
EBH-60/SW;Alu-Flansch;Aluminium Flange;0129800;8;26;STANDARD;CN;0;STUECK;1;USD;5,4;8,49;0;0;IMG -> Monacor;4007754168440;C41;;1;0,201;0,138;76169990990;;1;40;Nein;
EBH-61;Metall-Flansch;Metal Flange;0110690;8;26;STANDARD;CN;0;STUECK;1;USD;5,1;7,99;0;0;IMG -> Monacor;4007754191509;C41;;1;0,35;0,32;73269098900;;1;64;Nein;
EBN-268V;Netzwerkkamera;Network Camera;0189957;2;5;X;TW;0;STUECK;1;;169;289;0;0;ORG.MAKERS BRAND;4007754261486;S37;;1;0,885;0,773;85258019900;IOC-2812DV;1;0;Nein;
ECM-10/SW;Einbau-Mikrofon;Desk Microphone;0232720;1;3;STANDARD;TW;0;STUECK;1;USD;49;89,9;0;0;MONACOR;4007754154528;C12;;1;0,165;0,092;85181095900;;1;100;Nein;
ECM-10/WS;Einbau-Mikrofon;Desk Microphone;0232730;1;3;STANDARD;TW;0;STUECK;1;USD;49;89,9;0;0;MONACOR;4007754154535;C12;;1;0,165;0,095;85181095900;;1;100;Nein;
ECM-16N;Kopfbuegelmikrofon;Headworn Microphone;0234340;1;3;STANDARD;CN;0;STUECK;1;USD;16,9;30,9;0;0;MONACOR;4007754191158;C2;;1;0,14;0,1;85181095900;;1;50;Nein;
ECM-200;Elektret-Tischmikrofon;Electret Desk Mike;0230280;1;3;STANDARD;TW;0;STUECK;1;;24;44,9;0;0;MONACOR;4007754005615;E131;;1;0,369;0,298;85181095900;;1;30;Nein;
ECM-250;Mikrofon-Set;Microphone Set;0233480;8;31;STANDARD;CN;0;STUECK;1;USD;45;79,9;0;0;IMG STAGELINE;4007754174427;M10;;1;0,515;0,145;85181095900;;1;12;Nein;
ECM-2500;Elektret-Krawatten-Mikrofon;Electret Tie Pin Mike;0232670;8;32;STANDARD;CN;0;STUECK;1;USD;18,9;34,9;0;0;IMG -> Monacor;4007754154122;C9;;1;0,131;0,092;85181095900;;1;100;Nein;
ECM-270;Studio-Elektret-Mikrofon;Studio Electret Mike;0235140;8;32;STANDARD;CN;0;STUECK;1;USD;52;79;0;0;IMG STAGELINE;4007754194982;M10;;1;0,621;0,191;85181095900;;1;10;Nein;
ECM-285;Elektret-Mikrofon;Electret Microphone;0232760;8;32;STANDARD;TW;0;STUECK;1;USD;44;79,9;0;0;IMG STAGELINE;4007754155471;M11;;1;0,732;0,456;85181095900;;1;20;Nein;
ECM-3003;Elektret-Krawatten-Mikrofon;Electret Tie Pin Mike;0230340;8;30;STANDARD;TW;0;STUECK;1;;14,9;26,9;0;0;MONACOR;4007754005684;C8;;1;0,09;0,07;85181095900;;50;100;Nein;
ECM-3005;Elektret-Krawatten-Mikrofon;Electret Tie Pin Mike;0231580;8;30;STANDARD;TW;0;STUECK;1;;12,9;23,9;0;0;MONACOR;4007754035162;C9;;1;0,128;0,087;85181095900;;20;60;Nein;
ECM-300B;Grenzflaechen-Mikrofon;Boundary Microphone;0232390;8;30;STANDARD;TW;0;STUECK;1;USD;22;39,9;0;0;IMG -> Monacor;4007754137224;C13;;1;0,305;0,11;85181095900;;1;20;Nein;
ECM-300DT;Dante-Tischmikrofon;Dante Desk Microphone;0236910;1;3;STANDARD;CN;0;STUECK;1;USD;399;749;0;0;MONACOR;4007754258608;E3;;1;1,178;0,876;85181095900;;1;10;Nein;
ECM-300L;Elektret-Mikrofon;Electret Microphone;0232400;8;30;STANDARD;TW;0;STUECK;1;USD;24;44,9;0;0;IMG -> Monacor;4007754137231;C8;;1;0,28;0,078;85181095900;;1;20;Nein;
ECM-300LA;Grenzflaechen-Mikrofon;Boundary Microphone;0235310;1;3;NEUHEIT;TW;0;STUECK;1;;25;47,9;0;0;MONACOR;4007754199390;WWW;;1;0,319;0,126;85181095900;;1;0;Nein;
ECM-302B;Grenzflaechen-Mikrofon;Boundary Microphone;0232370;8;30;STANDARD;TW;0;STUECK;1;USD;79;144,9;0;0;IMG -> Monacor;4007754137200;C13;;1;0,785;0,507;85181095900;;1;20;Nein;
ECM-302B/WS;Grenzflaechen-Mikrofon;Boundary Microphone;0233630;8;30;STANDARD;TW;0;STUECK;1;USD;84;154,9;0;0;IMG -> Monacor;4007754178975;C13;;1;0,777;0,497;85181095900;;1;20;Nein;
ECM-304BD;Grenzflaechen-Mikrofon;Boundary Microphone;0232510;8;30;STANDARD;TW;0;STUECK;1;USD;33;62,9;0;0;IMG -> Monacor;4007754148022;C13;;1;0,47;0,29;85181095900;;1;20;Nein;
ECM-304BD/WS;Grenzflaechen-Mikrofon;Boundary Microphone;0233270;8;30;STANDARD;TW;0;STUECK;1;USD;33;62,9;0;0;IMG -> Monacor;4007754171938;C13;;1;0,474;0,285;85181095900;;1;20;Nein;
ECM-306B/SW;Grenzflaechen-Mikrofon;Boundary Microphone;0235790;8;30;STANDARD;TW;0;STUECK;1;USD;65;119,9;0;0;IMG -> Monacor;4007754212723;C13;;1;0,66;0,66;85181095900;;1;20;Nein;
ECM-306B/WS;Grenzflaechen-Mikrofon;Boundary Microphone;0235800;8;30;STANDARD;TW;0;STUECK;1;USD;65;119,9;0;0;IMG -> Monacor;4007754212761;C13;;1;0,695;0,695;85181095900;;1;20;Nein;
ECM-310P;Elektret-Tischmikrofon;Electret Desk Mike;0232430;1;3;STANDARD;PH;0;STUECK;1;USD;64;119,9;0;0;MONACOR;4007754140347;E131;;1;0,54;0,38;85181095900;;15;30;Nein;
ECM-310W;Elektret-Mikrofon;Electret Microphone;0233360;8;32;STANDARD;TW;0;STUECK;1;USD;45;79,9;0;0;IMG STAGELINE;4007754172744;M11;;1;0,525;0,155;85181095900;;1;20;Nein;
ECM-40;Elektret-Mikrofon;Electret Micorphone;0232230;8;31;STANDARD;TW;0;STUECK;1;;45;79,9;0;0;IMG -> Monacor;4007754122794;C11;;1;0,754;0,388;85181095900;;1;12;Nein;
ECM-402L;Elektret-Mikrofon;Electret Microphone;0233520;8;30;STANDARD;TW;0;STUECK;1;USD;25;47,9;0;0;IMG -> Monacor;4007754174991;C8;;1;0,045;0,02;85181095900;;50;100;Nein;
ECM-450;Elektret-Gong-Mikrofon;Electret Chime Microphone;0233370;1;3;STANDARD;CN;0;STUECK;1;;72;129,9;0;0;MONACOR;4007754173062;E131;;1;1,43;1,129;85181095900;;1;12;Nein;
ECM-500;Elektret-Tischmikrofon;Electret Desk Mike;0232550;1;3;STANDARD;TW;0;STUECK;1;USD;75;139,9;0;0;MONACOR;4007754150667;E131;;1;1,74;1,46;85181095900;;1;6;Nein;
ECM-500L/SK;Elektret-Mikrofon;Electret Microphone;0233890;8;30;STANDARD;CN;0;STUECK;1;USD;25;47,9;0;0;IMG -> Monacor;4007754182224;C8;;1;0,035;0,008;85181095900;;1;100;Nein;
ECM-501L/SK;Elektret-Mikrofon;Electret Microphone;0233900;8;30;STANDARD;CN;0;STUECK;1;USD;26;47,9;0;0;IMG -> Monacor;4007754182231;C8;;1;0,035;0,012;85181095900;;1;100;Nein;
ECM-600ST;Stereo-Elektret-Mikrofon;Stereo Electret Mike;0230380;8;31;STANDARD;TW;0;STUECK;1;;32;59,9;0;0;MONACOR;4007754005752;C11;;1;0,326;0,227;85181095900;;8;48;Nein;
ECM-700;Elektret-Mini-Mikrofon;Mini Electret Microphone;0230360;8;30;STANDARD;CN;0;STUECK;1;USD;11,9;21,9;0;0;MONACOR;4007754246346;C12;;1;0,023;0,021;85181095900;;1;200;Nein;
ECM-821LT;Elektret-Krawatten-Mikrofon;Electret Tie Pin Microphone;0235450;8;32;STANDARD;CN;0;STUECK;1;USD;12,5;22,9;0;0;IMG -> Monacor;4007754201451;C8;;1;0,025;0,02;85181095900;;1;50;Nein;
ECM-925P;Phantom-Elektret-Mikrofon;Phantom Elektret Microphone;0231990;8;31;STANDARD;TW;0;STUECK;1;;57;104,9;0;0;MONACOR;4007754091281;C11;;1;0,76;0,466;85181095900;;1;20;Nein;
ECM-950;Elektret-Richtmikrofon;Electret Condenser Mike;0233280;8;31;STANDARD;TW;0;STUECK;1;USD;59;109,9;0;0;IMG -> Monacor;4007754172157;C11;;1;0,63;0,38;85181095900;;1;20;Nein;
ECMS-50USB;Studio-Kondensator-USB-Mikrof.;Studio Condenser USB Mic.;0236940;8;32;NEUHEIT;CN;0;STUECK;1;USD;49;89,9;0;0;IMG STAGELINE;4007754259964;M5;;1;0,644;0,522;85181095900;;1;20;Nein;
ECMS-60;Studio-Kondensator-Mikrofon;Studio Condenser Microphone;0236950;8;32;NEUHEIT;CN;0;STUECK;1;USD;59;109,9;0;0;IMG STAGELINE;4007754259971;M5;;1;0,476;0,365;85181095900;;1;20;Nein;
ECMS-70;Studio-Kondensator-Mikrofon;Studio Condenser Microphone;0236960;8;32;NEUHEIT;CN;0;STUECK;1;USD;69;124,9;0;0;IMG STAGELINE;4007754259988;M4;;1;0,649;0,533;85181095900;;1;18;Nein;
ECMS-90;Studio-Kondensator-Mikrofon;Studio Condenser Microphone;0236970;8;32;NEUHEIT;CN;0;STUECK;1;USD;119;219;0;0;IMG STAGELINE;4007754259995;M4;;1;1,795;1,616;85181095900;;1;8;Nein;
EDL-10TW;ELA-Lautsprecher;PA Loudspeaker;0161200;1;2;STANDARD;TW;0;STUECK;1;USD;54;104,9;0;0;MONACOR;4007754132045;E71;;1;1,75;1,575;85182995990;EDL-11TW;1;8;Nein;
EDL-10TW/WS;ELA-Lautsprecher;PA Loudspeaker;0163380;1;2;STANDARD;CN;0;STUECK;1;USD;52;99,9;0;0;MONACOR;4007754253597;E71;;1;1,48;1,222;85182995990;;1;8;Nein;
EDL-110/WS;ELA-Lautsprecher;PA Loudspeaker;0161930;1;2;STANDARD;CN;0;STUECK;1;USD;52;99,9;0;0;MONACOR;4007754190519;E83;;1;2,5;2,08;85182100000;;1;4;Nein;
EDL-112/WS;ELA-Lautsprecher;PA Loudspeaker;0161720;1;2;STANDARD;CN;0;STUECK;1;USD;88;169,9;0;0;MONACOR;4007754176339;E83;;1;3,365;3,04;85182100000;;1;6;Nein;
EDL-115/WS;ELA-Lautsprecher;PA Loudspeaker;0161730;1;2;STANDARD;CN;0;STUECK;1;USD;72;139,9;0;0;MONACOR;4007754176346;E83;;1;2,645;2,34;85182100000;;1;6;Nein;
EDL-116TW;ELA-Lautsprecher;PA Loudspeaker;0163840;1;2;NEUHEIT;CN;0;STUECK;1;USD;39;77,9;0;0;MONACOR;4007754266436;;;1;0,85;0,85;85182995990;;1;24;Nein;
EDL-118TW;ELA-Lautsprecher;PA Loudspeaker;0163850;1;2;NEUHEIT;CN;0;STUECK;1;USD;44;84,9;0;0;MONACOR;4007754266443;;;1;1,33;1,13;85182995990;;1;10;Nein;
EDL-11TW;ELA-Lautsprecher;PA Loudspeaker;0161210;1;2;STANDARD;CN;0;STUECK;1;USD;49;94,9;0;0;MONACOR;4007754132052;E68;;1;2,156;1,73;85182100000;;1;6;Nein;
EDL-11TW/SW;ELA-Lautsprecher;PA Loudspeaker;0162410;1;2;STANDARD;CN;0;STUECK;1;USD;49;94,9;0;0;MONACOR;4007754203547;E68;;1;2,148;1,669;85182100000;;1;6;Nein;
EDL-15;ELA-Lautsprecher;PA Loudspeaker;0163810;1;2;NEUHEIT;CN;0;STUECK;1;USD;29,9;59,9;0;0;MONACOR;4007754266092;;;1;0,81;0,7;85182995990;;1;30;Nein;
EDL-150/WS;ELA-Lautsprecher;PA Loudspeaker;0161220;1;2;STANDARD;CN;0;STUECK;1;USD;17,9;34,9;0;0;MONACOR;4007754134551;E67;;1;0,892;0,709;85182995990;;1;10;Nein;
EDL-155;ELA-Lautsprecher;PA Loudspeaker;0162920;1;2;STANDARD;TW;0;STUECK;1;USD;52;99,9;0;0;MONACOR;4007754222685;E72;;1;1,213;1,047;85182995990;;1;12;Nein;
EDL-156;ELA-Lautsprecher;PA Loudspeaker;0161910;1;2;STANDARD;TW;0;STUECK;1;USD;54;104,9;0;0;MONACOR;4007754190328;E72;;1;1,249;1,083;85182995990;;1;12;Nein;
EDL-158;ELA-Lautsprecher;PA Loudspeaker;0162930;1;2;STANDARD;TW;0;STUECK;1;USD;58;114,9;0;0;MONACOR;4007754222692;E72;;1;1,321;1,118;85182995990;;1;12;Nein;
EDL-16;ELA-Lautsprecher;PA Loudspeaker;0163820;1;2;NEUHEIT;CN;0;STUECK;1;USD;34;67,9;0;0;MONACOR;4007754266108;;;1;0,84;0,84;85182995990;;1;24;Nein;
EDL-165AB/WS;ELA-Deckenlautsprecher;PA Ceiling Speaker;0163650;1;2;NEUHEIT;DE;0;STUECK;1;;49;94,9;0;0;MONACOR;4007754263848;WWW;;1;1,538;1,437;85182200900;;0;0;Nein;
EDL-165C/WS;ELA-Deckenlautsprecher;PA Ceiling Speaker;0160090;1;2;STANDARD;EEC;0;STUECK;1;;39;77,9;0;0;MONACOR;4007754233346;E85;;1;1,26;1,16;85182200900;;1;0;Ja;
EDL-18;ELA-Lautsprecher;PA Loudspeaker;0163830;1;2;NEUHEIT;CN;0;STUECK;1;USD;39;77,9;0;0;MONACOR;4007754266115;;;1;1,3;1,1;85182995990;;1;10;Nein;
EDL-204;ELA-Lautsprecher;PA Loudspeaker;0161630;1;2;STANDARD;TW;0;STUECK;1;USD;29;57,9;0;0;MONACOR;4007754174939;E69;;1;0,912;0,812;85182100000;;1;12;Nein;
EDL-206;ELA-Lautsprecher;PA Loudspeaker;0161650;1;2;STANDARD;TW;0;STUECK;1;USD;34;67,9;0;0;MONACOR;4007754174960;E69;;1;1,048;0,9;85182100000;;1;12;Nein;
EDL-22/WS;ELA-Lautsprecher;PA Loudspeaker;0162770;1;2;STANDARD;CN;0;STUECK;1;USD;13,9;26,9;0;0;MONACOR;4007754217667;E69;;1;0,41;0,325;85182995990;;1;30;Nein;
EDL-220/WS;ELA-Lautsprecher;PA Loudspeaker;0161950;1;2;STANDARD;CN;0;STUECK;1;USD;62;119,9;0;0;MONACOR;4007754190533;E83;;1;3,18;2,76;85182100000;;1;4;Nein;
EDL-224ABC;ELA-Deckenlautsprecher;PA Ceiling Speaker;0160100;1;2;STANDARD;DE;0;STUECK;1;;65;129,9;0;0;MONACOR;4007754233353;E85;;1;2,02;1,84;85182200900;;1;0;Ja;
EDL-24;ELA-Lautsprecher;PA Loudspeaker;0161430;1;2;STANDARD;CN;0;STUECK;1;USD;25;49,9;0;0;MONACOR;4007754156683;E66;;1;0,714;0,63;85182995990;;1;12;Nein;
EDL-25;ELA-Lautsprecher;PA Loudspeaker;0161440;1;2;STANDARD;CN;0;STUECK;1;USD;29,5;57,9;0;0;MONACOR;4007754156690;E66;;1;0,832;0,724;85182995990;;1;12;Nein;
EDL-250/WS;ELA-Lautsprecher;PA Loudspeaker;0162290;1;2;STANDARD;CN;0;STUECK;1;USD;52;99,9;0;0;MONACOR;4007754199048;E83;;1;2,44;2,116;85182100000;;1;6;Nein;
EDL-255/WS;ELA-Lautsprecher;PA Loudspeaker;0160860;1;2;STANDARD;CN;0;STUECK;1;USD;62;119,9;0;0;MONACOR;4007754064544;E84;;1;2,865;2,595;85182100000;;1;6;Nein;
EDL-26;ELA-Lautsprecher;PA Loudspeaker;0161450;1;2;STANDARD;CN;0;STUECK;1;USD;37;72,9;0;0;MONACOR;4007754156706;E66;;1;1,07;0,922;85182995990;;1;12;Nein;
EDL-28;ELA-Lautsprecher;PA Loudspeaker;0161460;1;2;STANDARD;CN;0;STUECK;1;USD;41;79,9;0;0;MONACOR;4007754156713;E66;;1;1,324;1,146;85182995990;;1;8;Nein;
EDL-300L;ELA-Deckenlautsprecher;PA Ceiling Speaker;0162180;1;2;STANDARD;DE;0;STUECK;1;;27,9;54,9;0;0;MONACOR;4007754196290;E126;;1;1,6;1,37;85182995990;;1;0;Ja;
EDL-310L;ELA-Deckenlautsprecher;PA Ceiling Speaker;0162490;1;2;STANDARD;DE;0;STUECK;1;;41,5;79,9;0;0;MONACOR;4007754206562;E126;;1;1,762;1,535;85182995990;;1;0;Ja;
EDL-35;ELA-Lautsprecher;PA Loudspeaker;0162060;1;2;STANDARD;CN;0;STUECK;1;USD;26,5;52,9;0;0;MONACOR;4007754195019;E68;;1;0,888;0,737;85182995990;;1;12;Nein;
EDL-36TW;ELA-Lautsprecher;PA Loudspeaker;0162070;1;2;STANDARD;CN;0;STUECK;1;USD;39;77,9;0;0;MONACOR;4007754195026;E68;;1;1,747;1,451;85182995990;;1;8;Nein;
EDL-412/WS;ELA-Lautsprecher;PA Loudspeaker;0161860;1;2;STANDARD;CN;0;STUECK;1;USD;47;89,9;0;0;MONACOR;4007754189124;E125;;1;2,05;1,72;85182100000;;1;8;Nein;
EDL-416EN/WS;ELA-Lautsprecher;PA Loudspeaker;0163420;1;2;STANDARD;CN;0;STUECK;1;;38;74,9;0;0;MONACOR;4007754254662;E85;;1;1,79;1,64;85182100000;;1;6;Nein;
EDL-420/WS;ELA-Lautsprecher;PA Loudspeaker;0161880;1;2;STANDARD;CN;0;STUECK;1;USD;69;134,9;0;0;MONACOR;4007754189148;E125;;1;2,84;2,34;85182100000;;1;4;Nein;
EDL-430/WS;ELA-Lautsprecher;PA Loudspeaker;0162370;1;2;STANDARD;CN;0;STUECK;1;USD;79;154,9;0;0;MONACOR;4007754203332;E125;;1;3,22;2,34;85182100000;;1;4;Nein;
EDL-435/WS;ELA-Lautsprecher;PA Loudspeaker;0163460;1;2;STANDARD;CN;0;STUECK;1;USD;85;164,9;0;0;MONACOR;4007754257489;E125;;1;2,84;2,22;85182100000;;1;2;Nein;
EDL-606;ELA-Lautsprecher;PA Loudspeaker;0161800;1;2;STANDARD;CN;0;STUECK;1;USD;17,5;33,9;0;0;MONACOR;4007754181708;E66;;1;0,946;0,698;85182995990;EDL-68/WS;1;8;Nein;
EDL-606EN;ELA-Deckenlautsprecher;PA Ceiling Speaker;0163160;1;2;STANDARD;CN;0;STUECK;1;USD;25;49,9;0;0;MONACOR;4007754238761;E85;;1;1,114;0,881;85182995990;EDL-612EN;1;12;Nein;
EDL-612;ELA-Lautsprecher;PA Loudspeaker;0161810;1;2;STANDARD;CN;0;STUECK;1;USD;18,5;35,9;0;0;MONACOR;4007754181722;E66;;1;1,01;0,753;85182995990;;1;8;Nein;
EDL-612EN;ELA-Deckenlautsprecher;PA Ceiling Speaker;0163170;1;2;STANDARD;CN;0;STUECK;1;USD;26;52,9;0;0;MONACOR;4007754238778;E85;;1;1,187;0,954;85182995990;;1;12;Nein;
EDL-620;ELA-Lautsprecher, 20W;PA Loudspeaker, 20W;0162590;1;2;STANDARD;CN;0;STUECK;1;USD;18,9;36,9;0;0;MONACOR;4007754212891;E66;;1;1,156;0,915;85182995990;;1;8;Nein;
EDL-620EN;ELA-Deckenlautsprecher;PA Ceiling Speaker;0163180;1;2;STANDARD;CN;0;STUECK;1;USD;27;52,9;0;0;MONACOR;4007754238785;E85;;1;1,346;1,104;85182995990;;1;12;Nein;
EDL-62HQ;ELA-Lautsprecher;PA Loudspeaker;0163430;1;2;STANDARD;CN;0;STUECK;1;USD;59;114,9;0;0;MONACOR;4007754254686;E71;;1;2,15;1,82;85182995990;;1;8;Nein;
EDL-65TW;ELA-Lautsprecher;PA Loudspeaker;0162220;1;2;STANDARD;CN;0;STUECK;1;USD;73;144,9;0;0;MONACOR;4007754197921;E72;;1;3,12;2,38;85182995990;;1;4;Nein;
EDL-68/WS;ELA-Lautsprecher;PA Loudspeaker;0162340;1;2;STANDARD;CN;0;STUECK;1;USD;41;79,9;0;0;MONACOR;4007754203301;E72;;1;1,555;1,22;85182995990;;1;8;Nein;
EDL-70/WS;ELA-Lautsprecher;PA Loudspeaker;0163310;1;2;STANDARD;CN;0;STUECK;1;;15,5;29,9;0;0;MONACOR;4007754244472;E67;;1;1,127;1,017;85182100000;;1;12;Nein;
EDL-706/12;ELA-Lautsprecher;PA Loudspeaker;0163370;1;2;STANDARD;CN;0;VE;12;;129;255;0;0;MONACOR;4007754250343;E66;;1;9,25;7,2;85182995990;;1;1;Nein;
EDL-8;ELA-Lautsprecher;PA Loudspeaker;0161070;1;2;STANDARD;CN;0;STUECK;1;USD;38;74,9;0;0;MONACOR;4007754116731;E67;;1;1,49;1,03;85182995990;EDL-28;1;6;Nein;
EDL-80DT;Dante-ELA-Lautsprecher;Dante PA Loudspeaker;0163480;1;2;STANDARD;CN;0;STUECK;1;USD;179;349;0;0;MONACOR;4007754258585;E3;;1;3,64;2,73;85182200900;;1;4;Nein;
EDL-82/WS;ELA-Lautsprecher;PA Loudspeaker;0161490;1;2;STANDARD;CN;0;STUECK;1;USD;19,9;38,9;0;0;MONACOR;4007754157079;E69;;1;0,696;0,64;85182995990;;1;30;Nein;
EDL-82HQ;ELA-Lautsprecher;PA Loudspeaker;0163440;1;2;STANDARD;CN;0;STUECK;1;USD;69;134,9;0;0;MONACOR;4007754254693;E71;;1;2,47;2,07;85182995990;;1;8;Nein;
EDL-84/WS;ELA-Lautsprecher;PA Loudspeaker;0162350;1;2;STANDARD;CN;0;STUECK;1;USD;14,9;28,9;0;0;MONACOR;4007754203318;E69;;1;0,475;0,41;85182995990;;1;24;Nein;
EHN-3260;Netzwerkkamera;Network Camera;0183410;2;5;X;TW;0;STUECK;1;;389;679;0;0;ORG.MAKERS BRAND;4007754232783;S37;;1;2,08;1,723;85258019900;INC-4312BDVM;1;6;Nein;
EI-208IDW;CO-Melder;CO Detector;0047700;2;16;STANDARD;IE;0;STUECK;1;;39,9;59,9;0;0;ORG.MAKERS BRAND;5099383005172;S74;;1;0,22;0,18;85311030000;;10;0;Ja;
EI-208IW;CO-Melder;CO Detector;0047710;2;16;STANDARD;IE;0;STUECK;1;;30,5;45,9;0;0;ORG.MAKERS BRAND;5099383005165;S74;;1;0,21;0,175;85311030000;;10;0;Ja;
EI-650;Rauchwarnmelder;Smoke Detector;0047690;2;16;STANDARD;IE;0;STUECK;1;;20,9;31,5;0;0;ORG.MAKERS BRAND;5099383004618;S74;;1;0,23;0,18;85311030000;;10;0;Ja;
EKB-200;USB-Steuerpult;USB Control Unit;0183420;2;12;X;TW;0;STUECK;1;;169;269;0;0;ORG.MAKERS BRAND;697101008150;S38;;1;1,367;0,935;85371098990;;1;0;Nein;
EKB-500;Universal Steuerpult;Control Unit;0180590;2;12;X;TW;0;STUECK;1;;359;579;0;0;ORG.MAKERS BRAND;4007754192698;S38;;1;2,815;1,918;85371098990;;1;2;Nein;
EMA-1;Phantomspeisung;Phantom Supply;0232120;8;35;STANDARD;PH;0;STUECK;1;USD;25;52,9;0;0;IMG STAGELINE;4007754113228;C9;;1;0,175;0,075;85369095990;;1;60;Nein;
EMA-20;Phantomspeisung;Phantom Supply;0232280;8;35;STANDARD;TW;0;STUECK;1;USD;12;24,9;0;0;IMG -> Monacor;4007754127249;C9;;1;0,09;0,08;85369095990;;1;100;Nein;
EMA-200;Phantomspeisung;Phantom Supply;0232790;8;35;STANDARD;TW;0;STUECK;1;USD;79;159,9;0;0;IMG STAGELINE;4007754156676;C10;;1;1,423;1,179;85369095990;;1;10;Nein;
EMA-3;Phantomspeisung;Phantom Supply;0233820;8;35;STANDARD;CN;0;STUECK;1;USD;41;84,9;0;0;IMG STAGELINE;4007754180091;C10;;1;0,96;0,81;85369095990;;1;20;Nein;
EMA-300P;Phantomspeisung;Phantom Adaptor;0232410;8;35;STANDARD;TW;0;STUECK;1;USD;25;52,9;0;0;IMG STAGELINE;4007754137248;C9;;1;0,155;0,079;85369095990;;1;100;Nein;
EMG-330P;Elektret-Schwanenhals-Mikrofon;Electret Gooseneck Microphone;0234270;8;32;STANDARD;CN;0;STUECK;1;USD;48;89,9;0;0;MONACOR;4007754190298;C11;;1;0,185;0,12;85181095900;;1;50;Nein;
EMG-500P;Elektret-Schwanenhals-Mikrofon;Electret Gooseneck Microphone;0231980;8;32;STANDARD;PH;0;STUECK;1;USD;46;84,9;0;0;MONACOR;4007754089769;C14;;1;0,341;0,203;85181095900;;20;40;Nein;
